Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Suspected,datetime,date,year,month,day,hr,min
Anhui,Mainland China,1/21/2020 10pm,,,,3.0,2020-01-21 22:00:00,Jan21,2020,1,21,22,0
Beijing,Mainland China,1/21/2020 10pm,10.0,,,,2020-01-21 22:00:00,Jan21,2020,1,21,22,0
Chongqing,Mainland China,1/21/2020 10pm,5.0,,,,2020-01-21 22:00:00,Jan21,2020,1,21,22,0
Guangdong,Mainland China,1/21/2020 10pm,17.0,,,4.0,2020-01-21 22:00:00,Jan21,2020,1,21,22,0
Guangxi,Mainland China,1/21/2020 10pm,,,,1.0,2020-01-21 22:00:00,Jan21,2020,1,21,22,0
Guizhou,Mainland China,1/21/2020 10pm,,,,1.0,2020-01-21 22:00:00,Jan21,2020,1,21,22,0
Hainan,Mainland China,1/21/2020 10pm,,,,1.0,2020-01-21 22:00:00,Jan21,2020,1,21,22,0
Heilongjiang,Mainland China,1/21/2020 10pm,,,,1.0,2020-01-21 22:00:00,Jan21,2020,1,21,22,0
Henan,Mainland China,1/21/2020 10pm,1.0,,,,2020-01-21 22:00:00,Jan21,2020,1,21,22,0
Hong Kong,Hong Kong,1/21/2020 10pm,,,,117.0,2020-01-21 22:00:00,Jan21,2020,1,21,22,0
Hubei,Mainland China,1/21/2020 10pm,270.0,6.0,25.0,11.0,2020-01-21 22:00:00,Jan21,2020,1,21,22,0
Hunan,Mainland China,1/21/2020 10pm,1.0,,,,2020-01-21 22:00:00,Jan21,2020,1,21,22,0
Jiangxi,Mainland China,1/21/2020 10pm,2.0,,,,2020-01-21 22:00:00,Jan21,2020,1,21,22,0
Jilin,Mainland China,1/21/2020 10pm,,,,1.0,2020-01-21 22:00:00,Jan21,2020,1,21,22,0
Liaoning,Mainland China,1/21/2020 10pm,,,,1.0,2020-01-21 22:00:00,Jan21,2020,1,21,22,0
Ningxia,Mainland China,1/21/2020 10pm,,,,1.0,2020-01-21 22:00:00,Jan21,2020,1,21,22,0
Shandong,Mainland China,1/21/2020 10pm,1.0,,,,2020-01-21 22:00:00,Jan21,2020,1,21,22,0
Shanghai,Mainland China,1/21/2020 10pm,9.0,,,10.0,2020-01-21 22:00:00,Jan21,2020,1,21,22,0
Sichuan,Mainland China,1/21/2020 10pm,2.0,,,1.0,2020-01-21 22:00:00,Jan21,2020,1,21,22,0
Taiwan,Taiwan,1/21/2020 10pm,1.0,,,,2020-01-21 22:00:00,Jan21,2020,1,21,22,0
Tianjin,Mainland China,1/21/2020 10pm,2.0,,,,2020-01-21 22:00:00,Jan21,2020,1,21,22,0
Yunnan,Mainland China,1/21/2020 10pm,1.0,,,,2020-01-21 22:00:00,Jan21,2020,1,21,22,0
Zhejiang,Mainland China,1/21/2020 10pm,5.0,,,16.0,2020-01-21 22:00:00,Jan21,2020,1,21,22,0
,Japan,1/21/2020 10pm,1.0,,,,2020-01-21 22:00:00,Jan21,2020,1,21,22,0
Washington,US,1/21/2020 10pm,1.0,,,,2020-01-21 22:00:00,Jan21,2020,1,21,22,0
,South Korea,1/21/2020 10pm,1.0,,,,2020-01-21 22:00:00,Jan21,2020,1,21,22,0
,Thailand,1/21/2020 10pm,2.0,,,,2020-01-21 22:00:00,Jan21,2020,1,21,22,0
