Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Suspected,ConfnSusp,datetime,date,year,month,day,hr,min
Anhui,Mainland China,1/22/20 12:00,1.0,,,4.0,5,2020-01-22 12:00:00,Jan22,2020,1,22,12,0
Beijing,Mainland China,1/22/20 12:00,14.0,,,,14,2020-01-22 12:00:00,Jan22,2020,1,22,12,0
Chongqing,Mainland China,1/22/20 12:00,6.0,,,,6,2020-01-22 12:00:00,Jan22,2020,1,22,12,0
Fujian,Mainland China,1/22/20 12:00,1.0,,,,1,2020-01-22 12:00:00,Jan22,2020,1,22,12,0
Gansu,Mainland China,1/22/20 12:00,,,,,0,2020-01-22 12:00:00,Jan22,2020,1,22,12,0
Guangdong,Mainland China,1/22/20 12:00,26.0,,,1.0,27,2020-01-22 12:00:00,Jan22,2020,1,22,12,0
Guangxi,Mainland China,1/22/20 12:00,2.0,,,1.0,3,2020-01-22 12:00:00,Jan22,2020,1,22,12,0
Guizhou,Mainland China,1/22/20 12:00,1.0,,,,1,2020-01-22 12:00:00,Jan22,2020,1,22,12,0
Hainan,Mainland China,1/22/20 12:00,4.0,,,,4,2020-01-22 12:00:00,Jan22,2020,1,22,12,0
Hebei,Mainland China,1/22/20 12:00,1.0,,,,1,2020-01-22 12:00:00,Jan22,2020,1,22,12,0
Heilongjiang,Mainland China,1/22/20 12:00,,,,1.0,1,2020-01-22 12:00:00,Jan22,2020,1,22,12,0
Henan,Mainland China,1/22/20 12:00,5.0,,,,5,2020-01-22 12:00:00,Jan22,2020,1,22,12,0
Hong Kong,Hong Kong,1/22/20 12:00,,,,117.0,117,2020-01-22 12:00:00,Jan22,2020,1,22,12,0
Hubei,Mainland China,1/22/20 12:00,444.0,17.0,28.0,,444,2020-01-22 12:00:00,Jan22,2020,1,22,12,0
Hunan,Mainland China,1/22/20 12:00,4.0,,,,4,2020-01-22 12:00:00,Jan22,2020,1,22,12,0
Inner Mongolia,Mainland China,1/22/20 12:00,,,,,0,2020-01-22 12:00:00,Jan22,2020,1,22,12,0
Jiangsu,Mainland China,1/22/20 12:00,1.0,,,,1,2020-01-22 12:00:00,Jan22,2020,1,22,12,0
Jiangxi,Mainland China,1/22/20 12:00,2.0,,,,2,2020-01-22 12:00:00,Jan22,2020,1,22,12,0
Jilin,Mainland China,1/22/20 12:00,,,,1.0,1,2020-01-22 12:00:00,Jan22,2020,1,22,12,0
Liaoning,Mainland China,1/22/20 12:00,2.0,,,,2,2020-01-22 12:00:00,Jan22,2020,1,22,12,0
Macau,Macau,1/22/20 12:00,1.0,,,,1,2020-01-22 12:00:00,Jan22,2020,1,22,12,0
Ningxia,Mainland China,1/22/20 12:00,1.0,,,,1,2020-01-22 12:00:00,Jan22,2020,1,22,12,0
Qinghai,Mainland China,1/22/20 12:00,,,,,0,2020-01-22 12:00:00,Jan22,2020,1,22,12,0
Shaanxi,Mainland China,1/22/20 12:00,,,,,0,2020-01-22 12:00:00,Jan22,2020,1,22,12,0
Shandong,Mainland China,1/22/20 12:00,2.0,,,,2,2020-01-22 12:00:00,Jan22,2020,1,22,12,0
Shanghai,Mainland China,1/22/20 12:00,9.0,,,10.0,19,2020-01-22 12:00:00,Jan22,2020,1,22,12,0
Shanxi,Mainland China,1/22/20 12:00,1.0,,,,1,2020-01-22 12:00:00,Jan22,2020,1,22,12,0
Sichuan,Mainland China,1/22/20 12:00,5.0,,,2.0,7,2020-01-22 12:00:00,Jan22,2020,1,22,12,0
Taiwan,Taiwan,1/22/20 12:00,1.0,,,,1,2020-01-22 12:00:00,Jan22,2020,1,22,12,0
Tianjin,Mainland China,1/22/20 12:00,4.0,,,,4,2020-01-22 12:00:00,Jan22,2020,1,22,12,0
Tibet,Mainland China,1/22/20 12:00,,,,,0,2020-01-22 12:00:00,Jan22,2020,1,22,12,0
Washington,US,1/22/20 12:00,1.0,,,,1,2020-01-22 12:00:00,Jan22,2020,1,22,12,0
Xinjiang,Mainland China,1/22/20 12:00,,,,,0,2020-01-22 12:00:00,Jan22,2020,1,22,12,0
Yunnan,Mainland China,1/22/20 12:00,1.0,,,,1,2020-01-22 12:00:00,Jan22,2020,1,22,12,0
Zhejiang,Mainland China,1/22/20 12:00,10.0,,,,10,2020-01-22 12:00:00,Jan22,2020,1,22,12,0
,Japan,1/22/20 12:00,2.0,,,,2,2020-01-22 12:00:00,Jan22,2020,1,22,12,0
,Thailand,1/22/20 12:00,2.0,,,,2,2020-01-22 12:00:00,Jan22,2020,1,22,12,0
,South Korea,1/22/20 12:00,1.0,,,,1,2020-01-22 12:00:00,Jan22,2020,1,22,12,0
