Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,date,year,month,day,Latitude,Longitude
Hubei,Mainland China,1/25/20 17:00,761,40.0,32.0,Jan25,2020,1,25,30.9756,112.2707
Guangdong,Mainland China,1/25/20 17:00,78,,2.0,Jan25,2020,1,25,23.3417,113.4244
Zhejiang,Mainland China,1/25/20 17:00,62,,1.0,Jan25,2020,1,25,29.1832,120.0934
Chongqing,Mainland China,1/25/20 17:00,57,,,Jan25,2020,1,25,30.0572,107.874
Hunan,Mainland China,1/25/20 17:00,43,,,Jan25,2020,1,25,27.6104,111.7088
Beijing,Mainland China,1/25/20 17:00,41,,2.0,Jan25,2020,1,25,40.1824,116.4142
Anhui,Mainland China,1/25/20 17:00,39,,,Jan25,2020,1,25,31.8257,117.2264
Shanghai,Mainland China,1/25/20 17:00,33,,1.0,Jan25,2020,1,25,31.202,121.4491
Henan,Mainland China,1/25/20 17:00,32,,,Jan25,2020,1,25,33.882,113.614
Sichuan,Mainland China,1/25/20 17:00,28,,,Jan25,2020,1,25,30.6171,102.7103
Shandong,Mainland China,1/25/20 17:00,27,,,Jan25,2020,1,25,36.3427,118.1498
Guangxi,Mainland China,1/25/20 17:00,23,,,Jan25,2020,1,25,23.8298,108.7881
Hainan,Mainland China,1/25/20 17:00,19,,,Jan25,2020,1,25,19.1959,109.7453
Jiangxi,Mainland China,1/25/20 17:00,18,,,Jan25,2020,1,25,27.614,115.7221
Fujian,Mainland China,1/25/20 17:00,18,,,Jan25,2020,1,25,26.0789,117.9874
Jiangsu,Mainland China,1/25/20 17:00,18,,1.0,Jan25,2020,1,25,32.9711,119.455
Liaoning,Mainland China,1/25/20 17:00,17,,,Jan25,2020,1,25,41.2956,122.6085
Shaanxi,Mainland China,1/25/20 17:00,15,,,Jan25,2020,1,25,35.1917,108.8701
Yunnan,Mainland China,1/25/20 17:00,11,,,Jan25,2020,1,25,24.974,101.487
Tianjin,Mainland China,1/25/20 17:00,10,,,Jan25,2020,1,25,39.3054,117.323
Heilongjiang,Mainland China,1/25/20 17:00,9,1.0,,Jan25,2020,1,25,47.862,127.7615
Hebei,Mainland China,1/25/20 17:00,8,1.0,,Jan25,2020,1,25,38.0428,114.5149
Inner Mongolia,Mainland China,1/25/20 17:00,7,,,Jan25,2020,1,25,44.0935,113.9448
Shanxi,Mainland China,1/25/20 17:00,6,,,Jan25,2020,1,25,37.5777,112.2922
Hong Kong,Hong Kong,1/25/20 17:00,5,,,Jan25,2020,1,25,22.3,114.2
Guizhou,Mainland China,1/25/20 17:00,4,,,Jan25,2020,1,25,26.8154,106.8748
Jilin,Mainland China,1/25/20 17:00,4,,,Jan25,2020,1,25,43.6661,126.1923
Gansu,Mainland China,1/25/20 17:00,4,,,Jan25,2020,1,25,36.0611,103.8343
Ningxia,Mainland China,1/25/20 17:00,3,,,Jan25,2020,1,25,37.2692,106.1655
Taiwan,Taiwan,1/25/20 17:00,3,,,Jan25,2020,1,25,23.7,121.0
Xinjiang,Mainland China,1/25/20 17:00,3,,,Jan25,2020,1,25,41.1129,85.2401
Macau,Macau,1/25/20 17:00,2,,,Jan25,2020,1,25,22.1667,113.55
Qinghai,Mainland China,1/25/20 17:00,1,,,Jan25,2020,1,25,35.7452,95.9956
Washington,US,1/25/20 17:00,1,,,Jan25,2020,1,25,47.608013,-122.335167
Illinois,US,1/25/20 17:00,1,,,Jan25,2020,1,25,40.6331,-89.3985
,Japan,1/25/20 17:00,2,,,Jan25,2020,1,25,36.0,138.0
,Thailand,1/25/20 17:00,7,,,Jan25,2020,1,25,15.0,101.0
,South Korea,1/25/20 17:00,2,,,Jan25,2020,1,25,36.0,128.0
,Singapore,1/25/20 17:00,3,,,Jan25,2020,1,25,1.2833,103.8333
,Vietnam,1/25/20 17:00,2,,,Jan25,2020,1,25,16.0,108.0
,France,1/25/20 17:00,3,,,Jan25,2020,1,25,47.0,2.0
,Australia,1/25/20 17:00,4,,,Jan25,2020,1,25,-25.2744,133.7751
,Nepal,1/25/20 17:00,1,,,Jan25,2020,1,25,28.1667,84.25
,Malaysia,1/25/20 17:00,3,,,Jan25,2020,1,25,2.5,112.5
