Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Notes,datetime,date,year,month,day,hr,min
Hubei,Mainland China,1/29/20 21:00,4586,162.0,90.0,,2020-01-29 21:00:00,Jan29,2020,1,29,21,0
Zhejiang,Mainland China,1/29/20 21:00,428,,4.0,,2020-01-29 21:00:00,Jan29,2020,1,29,21,0
Guangdong,Mainland China,1/29/20 21:00,311,,6.0,,2020-01-29 21:00:00,Jan29,2020,1,29,21,0
Henan,Mainland China,1/29/20 21:00,278,2.0,2.0,,2020-01-29 21:00:00,Jan29,2020,1,29,21,0
Hunan,Mainland China,1/29/20 21:00,277,,,,2020-01-29 21:00:00,Jan29,2020,1,29,21,0
Anhui,Mainland China,1/29/20 21:00,200,,2.0,,2020-01-29 21:00:00,Jan29,2020,1,29,21,0
Chongqing,Mainland China,1/29/20 21:00,165,,1.0,,2020-01-29 21:00:00,Jan29,2020,1,29,21,0
Jiangxi,Mainland China,1/29/20 21:00,162,,4.0,,2020-01-29 21:00:00,Jan29,2020,1,29,21,0
Shandong,Mainland China,1/29/20 21:00,145,,1.0,,2020-01-29 21:00:00,Jan29,2020,1,29,21,0
Sichuan,Mainland China,1/29/20 21:00,142,1.0,1.0,,2020-01-29 21:00:00,Jan29,2020,1,29,21,0
Jiangsu,Mainland China,1/29/20 21:00,129,,1.0,,2020-01-29 21:00:00,Jan29,2020,1,29,21,0
Beijing,Mainland China,1/29/20 21:00,111,1.0,4.0,,2020-01-29 21:00:00,Jan29,2020,1,29,21,0
Shanghai,Mainland China,1/29/20 21:00,101,1.0,5.0,,2020-01-29 21:00:00,Jan29,2020,1,29,21,0
Fujian,Mainland China,1/29/20 21:00,101,,,,2020-01-29 21:00:00,Jan29,2020,1,29,21,0
Guangxi,Mainland China,1/29/20 21:00,78,,2.0,,2020-01-29 21:00:00,Jan29,2020,1,29,21,0
Hebei,Mainland China,1/29/20 21:00,65,1.0,,,2020-01-29 21:00:00,Jan29,2020,1,29,21,0
Shaanxi,Mainland China,1/29/20 21:00,56,,,,2020-01-29 21:00:00,Jan29,2020,1,29,21,0
Yunnan,Mainland China,1/29/20 21:00,55,,,,2020-01-29 21:00:00,Jan29,2020,1,29,21,0
Hainan,Mainland China,1/29/20 21:00,43,1.0,,,2020-01-29 21:00:00,Jan29,2020,1,29,21,0
Heilongjiang,Mainland China,1/29/20 21:00,43,1.0,,,2020-01-29 21:00:00,Jan29,2020,1,29,21,0
Liaoning,Mainland China,1/29/20 21:00,39,,1.0,,2020-01-29 21:00:00,Jan29,2020,1,29,21,0
Shanxi,Mainland China,1/29/20 21:00,35,,1.0,,2020-01-29 21:00:00,Jan29,2020,1,29,21,0
Tianjin,Mainland China,1/29/20 21:00,27,,,,2020-01-29 21:00:00,Jan29,2020,1,29,21,0
Gansu,Mainland China,1/29/20 21:00,26,,,,2020-01-29 21:00:00,Jan29,2020,1,29,21,0
Inner Mongolia,Mainland China,1/29/20 21:00,16,,,,2020-01-29 21:00:00,Jan29,2020,1,29,21,0
Jilin,Mainland China,1/29/20 21:00,14,,1.0,,2020-01-29 21:00:00,Jan29,2020,1,29,21,0
Xinjiang,Mainland China,1/29/20 21:00,14,,,,2020-01-29 21:00:00,Jan29,2020,1,29,21,0
Guizhou,Mainland China,1/29/20 21:00,12,,1.0,,2020-01-29 21:00:00,Jan29,2020,1,29,21,0
