Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,datetime,date,year,month,day,hr,min
Hubei,Mainland China,2020-02-09 23:33:02,29631,871,1795,2020-02-09 23:20:00,Feb09,2020,2,9,23,20
Guangdong,Mainland China,2020-02-10 03:43:20,1151,1,147,2020-02-09 23:20:00,Feb09,2020,2,9,23,20
Zhejiang,Mainland China,2020-02-10 01:13:06,1092,0,201,2020-02-09 23:20:00,Feb09,2020,2,9,23,20
Henan,Mainland China,2020-02-10 01:13:06,1073,6,169,2020-02-09 23:20:00,Feb09,2020,2,9,23,20
Hunan,Mainland China,2020-02-10 02:13:16,879,1,186,2020-02-09 23:20:00,Feb09,2020,2,9,23,20
Anhui,Mainland China,2020-02-10 02:03:12,830,3,73,2020-02-09 23:20:00,Feb09,2020,2,9,23,20
Jiangxi,Mainland China,2020-02-10 01:23:04,771,1,102,2020-02-09 23:20:00,Feb09,2020,2,9,23,20
Jiangsu,Mainland China,2020-02-10 01:43:02,492,0,72,2020-02-09 23:20:00,Feb09,2020,2,9,23,20
Chongqing,Mainland China,2020-02-09 23:53:02,468,2,51,2020-02-09 23:20:00,Feb09,2020,2,9,23,20
Shandong,Mainland China,2020-02-10 00:43:02,459,1,63,2020-02-09 23:20:00,Feb09,2020,2,9,23,20
Sichuan,Mainland China,2020-02-10 01:03:19,405,1,76,2020-02-09 23:20:00,Feb09,2020,2,9,23,20
Beijing,Mainland China,2020-02-10 03:13:08,337,2,44,2020-02-09 23:20:00,Feb09,2020,2,9,23,20
Heilongjiang,Mainland China,2020-02-10 00:33:03,331,7,15,2020-02-09 23:20:00,Feb09,2020,2,9,23,20
Shanghai,Mainland China,2020-02-10 01:33:13,295,1,44,2020-02-09 23:20:00,Feb09,2020,2,9,23,20
Fujian,Mainland China,2020-02-10 01:13:06,261,0,35,2020-02-09 23:20:00,Feb09,2020,2,9,23,20
Hebei,Mainland China,2020-02-10 00:23:03,218,2,35,2020-02-09 23:20:00,Feb09,2020,2,9,23,20
Shaanxi,Mainland China,2020-02-10 02:23:07,213,0,26,2020-02-09 23:20:00,Feb09,2020,2,9,23,20
Guangxi,Mainland China,2020-02-10 02:03:17,210,1,18,2020-02-09 23:20:00,Feb09,2020,2,9,23,20
Yunnan,Mainland China,2020-02-09 08:53:02,141,0,18,2020-02-09 23:20:00,Feb09,2020,2,9,23,20
Hainan,Mainland China,2020-02-10 00:43:02,136,3,19,2020-02-09 23:20:00,Feb09,2020,2,9,23,20
Shanxi,Mainland China,2020-02-09 23:43:02,119,0,25,2020-02-09 23:20:00,Feb09,2020,2,9,23,20
Guizhou,Mainland China,2020-02-10 01:33:13,109,1,7,2020-02-09 23:20:00,Feb09,2020,2,9,23,20
Liaoning,Mainland China,2020-02-09 12:23:03,107,0,12,2020-02-09 23:20:00,Feb09,2020,2,9,23,20
Tianjin,Mainland China,2020-02-10 03:43:20,94,1,4,2020-02-09 23:20:00,Feb09,2020,2,9,23,20
Gansu,Mainland China,2020-02-09 23:33:02,83,2,16,2020-02-09 23:20:00,Feb09,2020,2,9,23,20
Jilin,Mainland China,2020-02-10 00:33:03,80,1,12,2020-02-09 23:20:00,Feb09,2020,2,9,23,20
Diamond Princess cruise ship,Others,2020-02-09 06:13:11,64,0,0,2020-02-09 23:20:00,Feb09,2020,2,9,23,20
Inner Mongolia,Mainland China,2020-02-10 02:43:05,58,0,5,2020-02-09 23:20:00,Feb09,2020,2,9,23,20
Ningxia,Mainland China,2020-02-10 01:43:02,49,0,13,2020-02-09 23:20:00,Feb09,2020,2,9,23,20
Xinjiang,Mainland China,2020-02-10 01:13:06,49,0,0,2020-02-09 23:20:00,Feb09,2020,2,9,23,20
,Singapore,2020-02-10 03:03:08,43,0,2,2020-02-09 23:20:00,Feb09,2020,2,9,23,20
Hong Kong,Hong Kong,2020-02-10 00:03:31,36,1,0,2020-02-09 23:20:00,Feb09,2020,2,9,23,20
,Thailand,2020-02-08 12:53:01,32,0,10,2020-02-09 23:20:00,Feb09,2020,2,9,23,20
,South Korea,2020-02-10 03:03:09,27,0,3,2020-02-09 23:20:00,Feb09,2020,2,9,23,20
,Japan,2020-02-09 06:13:11,26,0,1,2020-02-09 23:20:00,Feb09,2020,2,9,23,20
Qinghai,Mainland China,2020-02-06 02:13:15,18,0,3,2020-02-09 23:20:00,Feb09,2020,2,9,23,20
,Malaysia,2020-02-10 03:03:09,18,0,1,2020-02-09 23:20:00,Feb09,2020,2,9,23,20
Taiwan,Taiwan,2020-02-09 09:13:11,18,0,1,2020-02-09 23:20:00,Feb09,2020,2,9,23,20
,Germany,2020-02-09 06:13:11,14,0,0,2020-02-09 23:20:00,Feb09,2020,2,9,23,20
,Vietnam,2020-02-10 03:03:09,14,0,1,2020-02-09 23:20:00,Feb09,2020,2,9,23,20
,France,2020-02-08 09:53:01,11,0,0,2020-02-09 23:20:00,Feb09,2020,2,9,23,20
Macau,Macau,2020-02-06 14:23:04,10,0,1,2020-02-09 23:20:00,Feb09,2020,2,9,23,20
,United Arab Emirates,2020-02-08 07:03:16,7,0,0,2020-02-09 23:20:00,Feb09,2020,2,9,23,20
Queensland,Australia,2020-02-09 19:33:02,5,0,0,2020-02-09 23:20:00,Feb09,2020,2,9,23,20
New South Wales,Australia,2020-02-06 03:13:22,4,0,2,2020-02-09 23:20:00,Feb09,2020,2,9,23,20
Victoria,Australia,2020-02-01 18:12:49,4,0,0,2020-02-09 23:20:00,Feb09,2020,2,9,23,20
British Columbia,Canada,2020-02-07 05:43:03,4,0,0,2020-02-09 23:20:00,Feb09,2020,2,9,23,20
,India,2020-02-03 21:43:02,3,0,0,2020-02-09 23:20:00,Feb09,2020,2,9,23,20
,Italy,2020-02-07 17:53:02,3,0,0,2020-02-09 23:20:00,Feb09,2020,2,9,23,20
,Philippines,2020-02-07 16:43:04,3,1,0,2020-02-09 23:20:00,Feb09,2020,2,9,23,20
,UK,2020-02-07 18:33:02,3,0,0,2020-02-09 23:20:00,Feb09,2020,2,9,23,20
South Australia,Australia,2020-02-02 22:33:07,2,0,0,2020-02-09 23:20:00,Feb09,2020,2,9,23,20
"Toronto, ON",Canada,2020-02-04 00:13:06,2,0,0,2020-02-09 23:20:00,Feb09,2020,2,9,23,20
,Russia,2020-01-31 16:13:45,2,0,0,2020-02-09 23:20:00,Feb09,2020,2,9,23,20
,Spain,2020-02-09 20:33:03,2,0,0,2020-02-09 23:20:00,Feb09,2020,2,9,23,20
"Chicago, IL",US,2020-02-09 19:03:03,2,0,2,2020-02-09 23:20:00,Feb09,2020,2,9,23,20
"San Benito, CA",US,2020-02-03 03:53:02,2,0,0,2020-02-09 23:20:00,Feb09,2020,2,9,23,20
"Santa Clara, CA",US,2020-02-03 00:43:02,2,0,0,2020-02-09 23:20:00,Feb09,2020,2,9,23,20
,Belgium,2020-02-04 15:43:02,1,0,0,2020-02-09 23:20:00,Feb09,2020,2,9,23,20
,Cambodia,2020-01-31 08:15:53,1,0,0,2020-02-09 23:20:00,Feb09,2020,2,9,23,20
"London, ON",Canada,2020-02-04 00:03:11,1,0,0,2020-02-09 23:20:00,Feb09,2020,2,9,23,20
,Finland,2020-01-31 08:15:53,1,0,0,2020-02-09 23:20:00,Feb09,2020,2,9,23,20
Tibet,Mainland China,2020-02-01 01:52:40,1,0,0,2020-02-09 23:20:00,Feb09,2020,2,9,23,20
,Nepal,2020-01-31 08:15:53,1,0,0,2020-02-09 23:20:00,Feb09,2020,2,9,23,20
,Sri Lanka,2020-02-08 03:43:03,1,0,1,2020-02-09 23:20:00,Feb09,2020,2,9,23,20
,Sweden,2020-02-01 02:13:26,1,0,0,2020-02-09 23:20:00,Feb09,2020,2,9,23,20
"Boston, MA",US,2020-02-01 19:43:03,1,0,0,2020-02-09 23:20:00,Feb09,2020,2,9,23,20
"Los Angeles, CA",US,2020-02-01 19:53:03,1,0,0,2020-02-09 23:20:00,Feb09,2020,2,9,23,20
"Madison, WI",US,2020-02-05 21:53:02,1,0,0,2020-02-09 23:20:00,Feb09,2020,2,9,23,20
"Orange, CA",US,2020-02-01 19:53:03,1,0,0,2020-02-09 23:20:00,Feb09,2020,2,9,23,20
"Seattle, WA",US,2020-02-09 07:03:04,1,0,1,2020-02-09 23:20:00,Feb09,2020,2,9,23,20
"Tempe, AZ",US,2020-02-01 19:43:03,1,0,0,2020-02-09 23:20:00,Feb09,2020,2,9,23,20
