Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,date,year,month,day
Hubei,Mainland China,2020-02-19T23:23:02,62031,2029,10337,Feb19,2020,2,19
Guangdong,Mainland China,2020-02-19T10:23:02,1331,5,606,Feb19,2020,2,19
Henan,Mainland China,2020-02-19T12:13:08,1262,19,573,Feb19,2020,2,19
Zhejiang,Mainland China,2020-02-19T11:33:02,1174,0,604,Feb19,2020,2,19
Hunan,Mainland China,2020-02-19T11:33:02,1008,4,561,Feb19,2020,2,19
Anhui,Mainland China,2020-02-19T14:13:03,986,6,413,Feb19,2020,2,19
Jiangxi,Mainland China,2020-02-19T01:23:07,934,1,362,Feb19,2020,2,19
Jiangsu,Mainland China,2020-02-19T12:13:08,631,0,318,Feb19,2020,2,19
Diamond Princess cruise ship,Others,2020-02-19T20:33:02,621,0,1,Feb19,2020,2,19
Chongqing,Mainland China,2020-02-19T23:23:02,560,5,274,Feb19,2020,2,19
Shandong,Mainland China,2020-02-19T12:03:07,544,3,231,Feb19,2020,2,19
Sichuan,Mainland China,2020-02-19T13:53:02,514,3,188,Feb19,2020,2,19
Heilongjiang,Mainland China,2020-02-19T11:03:08,470,12,120,Feb19,2020,2,19
Beijing,Mainland China,2020-02-19T04:53:02,393,4,145,Feb19,2020,2,19
Shanghai,Mainland China,2020-02-19T04:43:02,333,2,186,Feb19,2020,2,19
Hebei,Mainland China,2020-02-19T13:23:02,306,4,152,Feb19,2020,2,19
Fujian,Mainland China,2020-02-19T11:53:02,293,0,112,Feb19,2020,2,19
Guangxi,Mainland China,2020-02-19T09:13:12,244,2,86,Feb19,2020,2,19
Shaanxi,Mainland China,2020-02-19T10:23:02,242,0,102,Feb19,2020,2,19
Yunnan,Mainland China,2020-02-19T23:33:02,172,1,60,Feb19,2020,2,19
Hainan,Mainland China,2020-02-19T23:43:02,168,4,84,Feb19,2020,2,19
Guizhou,Mainland China,2020-02-19T10:53:02,146,2,70,Feb19,2020,2,19
Shanxi,Mainland China,2020-02-19T23:53:02,131,0,68,Feb19,2020,2,19
Tianjin,Mainland China,2020-02-19T13:03:03,130,3,54,Feb19,2020,2,19
Liaoning,Mainland China,2020-02-19T01:23:07,121,1,55,Feb19,2020,2,19
Gansu,Mainland China,2020-02-19T13:53:02,91,2,65,Feb19,2020,2,19
Jilin,Mainland China,2020-02-19T06:03:08,90,1,37,Feb19,2020,2,19
,Japan,2020-02-19T20:33:02,84,1,18,Feb19,2020,2,19
,Singapore,2020-02-19T22:13:08,84,0,34,Feb19,2020,2,19
Xinjiang,Mainland China,2020-02-19T07:03:07,76,1,20,Feb19,2020,2,19
Inner Mongolia,Mainland China,2020-02-19T11:03:08,75,0,10,Feb19,2020,2,19
Ningxia,Mainland China,2020-02-19T01:53:02,71,0,42,Feb19,2020,2,19
Hong Kong,Hong Kong,2020-02-19T12:13:08,63,2,5,Feb19,2020,2,19
,Thailand,2020-02-17T07:33:02,35,0,15,Feb19,2020,2,19
,South Korea,2020-02-18T03:43:02,31,0,12,Feb19,2020,2,19
