Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude,date,year,month,day
Alabama,US,2020-04-11 22:45:33,3217,92,0,32.3182,-86.9023,Apr11,2020,4,11
Alaska,US,2020-04-11 22:45:33,257,8,0,61.3707,-152.4044,Apr11,2020,4,11
Arizona,US,2020-04-11 22:45:33,3393,108,0,33.7298,-111.4312,Apr11,2020,4,11
Arkansas,US,2020-04-11 22:45:33,1228,25,0,34.9697,-92.3731,Apr11,2020,4,11
California,US,2020-04-11 22:45:33,21706,605,0,36.1162,-119.6816,Apr11,2020,4,11
Colorado,US,2020-04-11 22:45:33,6513,250,0,39.0598,-105.3111,Apr11,2020,4,11
Connecticut,US,2020-04-11 22:45:33,11510,494,0,41.5978,-72.7554,Apr11,2020,4,11
Delaware,US,2020-04-11 22:45:33,1479,33,0,39.3185,-75.5071,Apr11,2020,4,11
District of Columbia,US,2020-04-11 22:45:33,1778,47,0,38.8974,-77.0268,Apr11,2020,4,11
Florida,US,2020-04-11 22:45:33,18494,438,0,27.7663,-81.6868,Apr11,2020,4,11
Georgia,US,2020-04-11 22:45:33,12159,429,0,33.0406,-83.6431,Apr11,2020,4,11
Hawaii,US,2020-04-11 22:45:33,465,8,0,21.0943,-157.4983,Apr11,2020,4,11
Idaho,US,2020-04-11 22:45:33,1396,25,0,44.2405,-114.4788,Apr11,2020,4,11
Illinois,US,2020-04-11 22:45:33,19180,677,0,40.3495,-88.9861,Apr11,2020,4,11
Indiana,US,2020-04-11 22:45:33,7435,330,0,39.8494,-86.2583,Apr11,2020,4,11
Iowa,US,2020-04-11 22:45:33,1510,34,0,42.0115,-93.2105,Apr11,2020,4,11
Kansas,US,2020-04-11 22:45:33,1275,55,0,38.5266,-96.7265,Apr11,2020,4,11
Kentucky,US,2020-04-11 22:45:33,1693,90,0,37.6681,-84.6701,Apr11,2020,4,11
Louisiana,US,2020-04-11 22:45:33,20014,806,0,31.1695,-91.8678,Apr11,2020,4,11
Maine,US,2020-04-11 22:45:33,616,19,0,44.6939,-69.3819,Apr11,2020,4,11
Maryland,US,2020-04-11 22:45:33,7694,206,0,39.0639,-76.8021,Apr11,2020,4,11
Massachusetts,US,2020-04-11 22:45:33,22860,686,0,42.2302,-71.5301,Apr11,2020,4,11
Michigan,US,2020-04-11 22:45:33,23605,1384,0,43.3266,-84.5361,Apr11,2020,4,11
Minnesota,US,2020-04-11 22:45:33,1427,64,0,45.6945,-93.9002,Apr11,2020,4,11
Mississippi,US,2020-04-11 22:45:33,2642,93,0,32.7416,-89.6787,Apr11,2020,4,11
Missouri,US,2020-04-11 22:45:33,4108,116,0,38.4561,-92.2884,Apr11,2020,4,11
Montana,US,2020-04-11 22:45:33,377,6,0,46.9219,-110.4544,Apr11,2020,4,11
Nebraska,US,2020-04-11 22:45:33,699,17,0,41.1254,-98.2681,Apr11,2020,4,11
Nevada,US,2020-04-11 22:45:33,2702,102,0,38.3135,-117.0554,Apr11,2020,4,11
New Hampshire,US,2020-04-11 22:45:33,885,22,0,43.4525,-71.5639,Apr11,2020,4,11
New Jersey,US,2020-04-11 22:45:33,58151,2183,0,40.2989,-74.521,Apr11,2020,4,11
New Mexico,US,2020-04-11 22:45:33,1091,19,0,34.8405,-106.2485,Apr11,2020,4,11
New York,US,2020-04-11 22:45:33,181026,8627,0,42.1657,-74.9481,Apr11,2020,4,11
North Carolina,US,2020-04-11 22:45:33,4354,89,0,35.6301,-79.8064,Apr11,2020,4,11
North Dakota,US,2020-04-11 22:45:33,293,7,0,47.5289,-99.784,Apr11,2020,4,11
Northern Mariana Islands,US,2020-04-11 22:45:33,5,1,0,15.0979,145.6739,Apr11,2020,4,11
Ohio,US,2020-04-11 22:45:33,6250,247,0,40.3888,-82.7649,Apr11,2020,4,11
Oklahoma,US,2020-04-11 22:45:33,1868,94,0,35.5653,-96.9289,Apr11,2020,4,11
Oregon,US,2020-04-11 22:45:33,1371,48,0,44.572,-122.0709,Apr11,2020,4,11
